FBtr0091794,CG33791
FBtr0091793,CG33791
FBtr0300892,CG33791
FBtr0091792,CG33791
FBtr0301734,Blos1
FBtr0333965,CR43977
FBtr0342889,CG30392
FBtr0071618,CG30392
FBtr0344856,sick
FBtr0329838,sick
FBtr0329840,sick
FBtr0332236,sick
FBtr0329844,sick
FBtr0329839,sick
FBtr0329842,sick
FBtr0332237,sick
FBtr0336736,sick
FBtr0329846,sick
FBtr0329845,sick
FBtr0329843,sick
FBtr0343164,CR44775
FBtr0082799,rin
FBtr0082797,rin
FBtr0346346,rin
FBtr0346347,rin
FBtr0084420,CG10170
FBtr0074230,sl
FBtr0112400,CG34207
FBtr0331156,CG43759
FBtr0331157,CG43759
FBtr0343982,CG43759
FBtr0332994,CG43759
FBtr0070707,ctp
FBtr0070704,ctp
FBtr0070706,ctp
FBtr0307065,ctp
FBtr0300565,Unc-115a
FBtr0346714,Unc-115a
FBtr0339597,Unc-115a
FBtr0344276,Unc-115a
FBtr0082092,Unc-115a
FBtr0344275,Unc-115a
FBtr0300564,Unc-115a
FBtr0344277,Unc-115a
FBtr0305273,CG10486
FBtr0114644,CG10486
FBtr0078384,Mkrn1
FBtr0078383,Mkrn1
FBtr0305331,Mkrn1
FBtr0345780,CR45371
FBtr0346513,CG34312
FBtr0333152,CG34312
FBtr0112510,CG34312
FBtr0087297,Diap2
FBtr0087296,Diap2
FBtr0332380,CG14052
FBtr0077024,Cpr65Av
FBtr0078507,CG11425
FBtr0346920,CR45873
FBtr0084821,CG11878
FBtr0071309,CG15369
FBtr0346164,CG15369
FBtr0082010,Prosbeta3
FBtr0081610,tRNA:Gly-TCC-1-2
FBtr0086091,CG10417
FBtr0086092,CG10417
FBtr0079762,CG17906
FBtr0299772,CG42322
FBtr0299771,CG42322
FBtr0299768,CG42322
FBtr0345263,CG42322
FBtr0305057,CG42322
FBtr0305058,CG42322
FBtr0070184,TfIIA-S-2
FBtr0310497,CG33137
FBtr0075590,CG13449
FBtr0332094,CG13449
FBtr0088695,CG14749
FBtr0346507,CG32152
FBtr0346508,CG32152
FBtr0332276,CR43833
FBtr0339737,CR44339
FBtr0302176,CG1513
FBtr0088450,CG1513
FBtr0331955,CG1513
FBtr0085033,TwdlR
FBtr0100888,mt:lrRNA
FBtr0081690,Ccp84Ad
FBtr0080434,Sirt1
FBtr0112501,CG34305
FBtr0088394,CG12128
FBtr0088393,CG12128
FBtr0344348,CR45045
FBtr0077210,slgA
FBtr0077204,slgA
FBtr0077208,slgA
FBtr0307526,slgA
FBtr0077205,slgA
FBtr0077209,slgA
FBtr0077206,slgA
FBtr0307527,slgA
FBtr0077207,slgA
FBtr0307528,slgA
FBtr0307524,slgA
FBtr0077203,slgA
FBtr0307529,slgA
FBtr0307525,slgA
FBtr0308086,CG1674
FBtr0300799,CG1674
FBtr0333671,CG1674
FBtr0300797,CG1674
FBtr0300798,CG1674
FBtr0308087,CG1674
FBtr0089119,CG1674
FBtr0300796,CG1674
FBtr0300800,CG1674
FBtr0089116,CG1674
FBtr0113033,Schip1
FBtr0452145,Schip1
FBtr0332591,Scamp
FBtr0074079,Scamp
FBtr0332592,Scamp
FBtr0086996,CG18469
FBtr0336954,Ir60e
FBtr0346809,CG33689
FBtr0308827,CG31431
FBtr0084137,CG31431
FBtr0308826,CG31431
FBtr0307106,CR43356
FBtr0071541,CG10527
FBtr0336859,dao
FBtr0336860,dao
FBtr0080707,dao
FBtr0290334,Octbeta3R
FBtr0290335,Octbeta3R
FBtr0308597,Octbeta3R
FBtr0301944,Octbeta3R
FBtr0340334,CR44420
FBtr0344114,CR45010
FBtr0080480,CG31730
FBtr0081576,CG10053
FBtr0339734,CG10053
FBtr0344585,CR43950
FBtr0084804,CG13653
FBtr0310392,CR43670
FBtr0332163,CG42798
FBtr0303731,CG42798
FBtr0086044,Gp210
FBtr0335270,Gp210
FBtr0070437,CG13759
FBtr0302447,CG13759
FBtr0302449,CG13759
FBtr0302448,CG13759
FBtr0087862,Taz
FBtr0302455,Taz
FBtr0087864,Taz
FBtr0087863,Taz
FBtr0340508,CR44450
FBtr0345916,CR45445
FBtr0072962,CG32295
FBtr0076847,Sec63
FBtr0336754,CG11983
FBtr0081966,CG11983
FBtr0070293,Rab27
FBtr0070294,Rab27
FBtr0346893,5.8SrRNA-Psi:CR45857
FBtr0344637,CR43991
FBtr0074896,RhoGDI
FBtr0331800,RhoGDI
FBtr0072564,Cypl
FBtr0347070,CR45957
FBtr0306733,CR32194
FBtr0074785,mRpS14
FBtr0346015,mRpS14
FBtr0345154,CR45188
FBtr0074474,CG12986
FBtr0345236,CR45209
FBtr0331811,TrpRS-m
FBtr0075141,TrpRS-m
FBtr0088926,CG30496
FBtr0301134,CG5521
FBtr0085069,CG5521
FBtr0306546,CR43263
FBtr0078288,Sin
FBtr0304820,Sin
FBtr0301448,loj
FBtr0301447,loj
FBtr0301446,loj
FBtr0345944,CG44102
FBtr0345943,CG44102
FBtr0301526,Pxd
FBtr0089287,Pxd
FBtr0337061,Pxd
FBtr0075653,CG13457
FBtr0075654,CG13457
FBtr0329941,Liprin-alpha
FBtr0079301,Liprin-alpha
FBtr0329942,Liprin-alpha
FBtr0079300,Liprin-alpha
FBtr0329943,Liprin-alpha
FBtr0076933,CG32388
FBtr0078830,CG2604
FBtr0078828,CG2604
FBtr0078829,CG2604
FBtr0343392,CG14007
FBtr0081279,CG10166
FBtr0344027,CR43927
FBtr0333244,CR43927
FBtr0309241,alph
FBtr0085444,alph
FBtr0085446,alph
FBtr0085442,alph
FBtr0085445,alph
FBtr0085443,alph
FBtr0088549,ced-6
FBtr0306808,ced-6
FBtr0088548,ced-6
FBtr0088550,ced-6
FBtr0339384,ced-6
FBtr0072788,JTBR
FBtr0332877,JTBR
FBtr0332876,JTBR
FBtr0330391,Atf3
FBtr0070244,Atf3
FBtr0345507,Atf3
FBtr0343114,Irk3
FBtr0081125,Irk3
FBtr0343113,Irk3
FBtr0088203,CG13231
FBtr0345550,CR45285
FBtr0301738,CG42585
FBtr0340494,SmydA-9
FBtr0071336,SmydA-9
FBtr0077408,mRpS2
FBtr0082719,CG8031
FBtr0073257,Teh3
FBtr0339323,CR44287
FBtr0086736,pAbp
FBtr0086740,pAbp
FBtr0086738,pAbp
FBtr0336484,CG9795
FBtr0100617,CG9795
FBtr0078907,CG9795
FBtr0336483,CG9795
FBtr0300890,CG13319
FBtr0087788,CG13319
FBtr0333952,RhoGEF3
FBtr0333962,RhoGEF3
FBtr0333960,RhoGEF3
FBtr0333957,RhoGEF3
FBtr0333954,RhoGEF3
FBtr0333956,RhoGEF3
FBtr0333958,RhoGEF3
FBtr0333953,RhoGEF3
FBtr0333961,RhoGEF3
FBtr0333959,RhoGEF3
FBtr0333955,RhoGEF3
FBtr0086372,5SrRNA:CR33380
FBtr0088331,Or46a
FBtr0088330,Or46a
FBtr0310107,CR43653
FBtr0091798,snoRNA:684
FBtr0299623,RhoGAP18B
FBtr0299624,RhoGAP18B
FBtr0299622,RhoGAP18B
FBtr0299625,RhoGAP18B
FBtr0339261,RhoGAP18B
FBtr0333266,Usp10
FBtr0333267,Usp10
FBtr0072589,Usp10
FBtr0305556,l(2)k05911
FBtr0072219,Nap1
FBtr0305990,Nap1
FBtr0305989,Nap1
FBtr0342704,qsm
FBtr0086258,qsm
FBtr0307759,mod(mdg4)
FBtr0084065,mod(mdg4)
FBtr0084067,mod(mdg4)
FBtr0084070,mod(mdg4)
FBtr0084077,mod(mdg4)
FBtr0084072,mod(mdg4)
FBtr0084073,mod(mdg4)
FBtr0084066,mod(mdg4)
FBtr0084078,mod(mdg4)
FBtr0084079,mod(mdg4)
FBtr0114360,mod(mdg4)
FBtr0307760,mod(mdg4)
FBtr0084081,mod(mdg4)
FBtr0343765,mod(mdg4)
FBtr0084064,mod(mdg4)
FBtr0084085,mod(mdg4)
FBtr0084083,mod(mdg4)
FBtr0114361,mod(mdg4)
FBtr0084071,mod(mdg4)
FBtr0084084,mod(mdg4)
FBtr0084069,mod(mdg4)
FBtr0084080,mod(mdg4)
FBtr0084074,mod(mdg4)
FBtr0084075,mod(mdg4)
FBtr0084062,mod(mdg4)
FBtr0114359,mod(mdg4)
FBtr0084068,mod(mdg4)
FBtr0084063,mod(mdg4)
FBtr0084082,mod(mdg4)
FBtr0084060,mod(mdg4)
FBtr0084061,mod(mdg4)
FBtr0347100,CR45981
FBtr0082978,CG7987
FBtr0082979,CG7987
FBtr0347046,CR45938
FBtr0304634,CG43049
FBtr0304635,CG43049
FBtr0343117,CG10383
FBtr0089628,CG10383
FBtr0334574,CG3744
FBtr0334576,CG3744
FBtr0334577,CG3744
FBtr0334575,CG3744
FBtr0078208,CG5078
FBtr0307394,CG33969
FBtr0100010,CG33969
FBtr0290267,CG5674
FBtr0081021,CG5674
FBtr0081022,CG5674
FBtr0340182,CG5674
FBtr0330341,GluRIB
FBtr0334765,GluRIB
FBtr0346866,GluRIB
FBtr0330340,GluRIB
FBtr0079832,CG13113
FBtr0080478,Drep4
FBtr0076185,Ir68a
FBtr0345037,Ir68a
FBtr0076310,dpr10
FBtr0331552,dpr10
FBtr0076308,dpr10
FBtr0076309,dpr10
FBtr0070270,hfw
FBtr0333115,hfw
FBtr0085157,CG14260
FBtr0334728,CG14260
FBtr0333180,fog
FBtr0333179,fog
FBtr0100538,fog
FBtr0333181,fog
FBtr0333182,fog
FBtr0077342,fog
FBtr0303582,CG13613
FBtr0346840,CR45819
FBtr0342832,CR44697
FBtr0100508,Src64B
FBtr0073321,Src64B
FBtr0343995,Src64B
FBtr0304989,Src64B
FBtr0302594,Src64B
FBtr0100507,Src64B
FBtr0304990,Src64B
FBtr0100504,Src64B
FBtr0100505,Src64B
FBtr0346246,CR45588
FBtr0306974,CG43345
